brand,country,vertical,sov
Momondo,Bolivia,Hotel,0.4380%
KAYAK,Bolivia,Hotel Citywide,5.8428%
Momondo,Bolivia,Hotel Citywide,2.2772%
Hotelscombined,Bolivia,Hotel Citywide,4.8274%
Swoodoo,Bolivia,Hotel Citywide,0.0005%
Hotelscombined,Bolivia,Vacations,14.2857%
KAYAK,Bolivia,Vacations,3.5714%
KAYAK,"Bonaire, Sint Eustatius, and Saba",Flights,9.1856%
CheapFlights,"Bonaire, Sint Eustatius, and Saba",Flights,8.8068%
Momondo,"Bonaire, Sint Eustatius, and Saba",Flights,4.2614%
Hotelscombined,"Bonaire, Sint Eustatius, and Saba",Flights,2.9356%
KAYAK,"Bonaire, Sint Eustatius, and Saba",Hotel,2.1429%
Hotelscombined,"Bonaire, Sint Eustatius, and Saba",Hotel,5.7143%
KAYAK,"Bonaire, Sint Eustatius, and Saba",Hotel Citywide,8.6140%
Momondo,"Bonaire, Sint Eustatius, and Saba",Hotel Citywide,0.8744%
Hotelscombined,"Bonaire, Sint Eustatius, and Saba",Hotel Citywide,2.8821%
Momondo,Bosnia and Herzegovina,Car Rentals,25.0000%
KAYAK,Bosnia and Herzegovina,Car Rentals,5.0000%
CheapFlights,Bosnia and Herzegovina,Flights,8.2059%
KAYAK,Bosnia and Herzegovina,Flights,3.1544%
Momondo,Bosnia and Herzegovina,Flights,3.6397%
Hotelscombined,Bosnia and Herzegovina,Flights,6.5221%
KAYAK,Bosnia and Herzegovina,Hotel,10.4377%
Hotelscombined,Bosnia and Herzegovina,Hotel,5.8081%
Momondo,Bosnia and Herzegovina,Hotel,1.0101%
Swoodoo,Bosnia and Herzegovina,Hotel,0.0842%
KAYAK,Bosnia and Herzegovina,Hotel Citywide,10.0401%
Momondo,Bosnia and Herzegovina,Hotel Citywide,1.6023%
Hotelscombined,Bosnia and Herzegovina,Hotel Citywide,2.2578%
Swoodoo,Bosnia and Herzegovina,Hotel Citywide,0.0859%
KAYAK,Bosnia and Herzegovina,Vacations,2.9412%
Hotelscombined,Bosnia and Herzegovina,Vacations,7.3529%
KAYAK,Botswana,Flights,10.4895%
Momondo,Botswana,Flights,3.6932%
CheapFlights,Botswana,Flights,6.0315%
Hotelscombined,Botswana,Flights,4.9607%
KAYAK,Botswana,Hotel,4.5259%
Hotelscombined,Botswana,Hotel,4.6336%
Momondo,Botswana,Hotel,0.4310%
KAYAK,Botswana,Hotel Citywide,8.9850%
Momondo,Botswana,Hotel Citywide,1.5074%
Hotelscombined,Botswana,Hotel Citywide,2.0800%
Hotelscombined,Botswana,Vacations,3.5714%
Momondo,Brazil,Car Rentals,24.7532%
KAYAK,Brazil,Car Rentals,2.1766%
KAYAK,Brazil,Flights,3.7192%
Hotelscombined,Brazil,Flights,8.5006%
Mundi,Brazil,Flights,1.5048%
Momondo,Brazil,Flights,0.5557%
CheapFlights,Brazil,Flights,0.2198%
Hotelscombined,Brazil,Hotel,6.1571%
KAYAK,Brazil,Hotel,4.0946%
Mundi,Brazil,Hotel,0.7456%
Momondo,Brazil,Hotel,0.1651%
KAYAK,Brazil,Hotel Citywide,16.0759%
Hotelscombined,Brazil,Hotel Citywide,1.5782%
Mundi,Brazil,Hotel Citywide,0.5473%
Momondo,Brazil,Hotel Citywide,1.9067%
Swoodoo,Brazil,Hotel Citywide,0.0018%
Hotelscombined,Brazil,Vacations,10.3198%
KAYAK,Brazil,Vacations,0.4360%
