device,brand,country,vertical,sov
-1,Momondo,Bulgaria,Hotel,0.6261%
-1,Swoodoo,Bulgaria,Hotel,0.0447%
-1,KAYAK,Bulgaria,Hotel Citywide,4.3071%
-1,Hotelscombined,Bulgaria,Hotel Citywide,5.5607%
-1,Momondo,Bulgaria,Hotel Citywide,0.9792%
-1,Swoodoo,Bulgaria,Hotel Citywide,0.0149%
-1,Hotelscombined,Bulgaria,Vacations,12.1094%
-1,KAYAK,Bulgaria,Vacations,0.7813%
-1,KAYAK,Burkina Faso,Car Rentals,25.0000%
-1,Momondo,Burkina Faso,Car Rentals,25.0000%
-1,KAYAK,Burkina Faso,Flights,15.5944%
-1,CheapFlights,Burkina Faso,Flights,9.4184%
-1,Momondo,Burkina Faso,Flights,5.3654%
-1,Hotelscombined,Burkina Faso,Flights,4.4905%
-1,KAYAK,Burkina Faso,Hotel,5.5000%
-1,Momondo,Burkina Faso,Hotel,0.2500%
-1,Hotelscombined,Burkina Faso,Hotel,2.7500%
-1,KAYAK,Burkina Faso,Hotel Citywide,4.6886%
-1,Momondo,Burkina Faso,Hotel Citywide,1.8337%
-1,Hotelscombined,Burkina Faso,Hotel Citywide,1.5387%
-1,KAYAK,Burkina Faso,Vacations,25.0000%
-1,Momondo,Burundi,Car Rentals,25.0000%
-1,KAYAK,Burundi,Car Rentals,20.0000%
-1,KAYAK,Burundi,Flights,16.1027%
-1,CheapFlights,Burundi,Flights,9.6266%
-1,Momondo,Burundi,Flights,7.6138%
-1,Hotelscombined,Burundi,Flights,2.8880%
-1,KAYAK,Burundi,Hotel,2.0833%
-1,Hotelscombined,Burundi,Hotel,2.0833%
-1,Momondo,Burundi,Hotel,1.0417%
-1,KAYAK,Burundi,Hotel Citywide,7.5510%
-1,Momondo,Burundi,Hotel Citywide,2.8367%
-1,Hotelscombined,Burundi,Hotel Citywide,1.7959%
-1,Momondo,Cabo Verde,Car Rentals,23.3333%
-1,KAYAK,Cabo Verde,Car Rentals,11.6667%
-1,CheapFlights,Cabo Verde,Flights,13.1778%
-1,KAYAK,Cabo Verde,Flights,4.9641%
-1,Momondo,Cabo Verde,Flights,7.5558%
-1,Hotelscombined,Cabo Verde,Flights,5.4725%
-1,KAYAK,Cabo Verde,Hotel,5.2632%
-1,Hotelscombined,Cabo Verde,Hotel,3.2895%
-1,KAYAK,Cabo Verde,Hotel Citywide,4.5326%
-1,Momondo,Cabo Verde,Hotel Citywide,0.8764%
-1,Hotelscombined,Cabo Verde,Hotel Citywide,2.1956%
-1,Swoodoo,Cabo Verde,Hotel Citywide,0.0094%
-1,Hotelscombined,Cabo Verde,Vacations,10.0000%
-1,KAYAK,Cabo Verde,Vacations,5.0000%
-1,KAYAK,Cambodia,Car Rentals,16.6667%
-1,Momondo,Cambodia,Car Rentals,16.6667%
-1,KAYAK,Cambodia,Flights,14.3109%
-1,Momondo,Cambodia,Flights,4.0705%
-1,CheapFlights,Cambodia,Flights,4.2788%
-1,Hotelscombined,Cambodia,Flights,5.4006%
-1,KAYAK,Cambodia,Hotel,4.6137%
-1,Hotelscombined,Cambodia,Hotel,4.7210%
-1,Momondo,Cambodia,Hotel,1.6094%
-1,KAYAK,Cambodia,Hotel Citywide,11.4482%
-1,Hotelscombined,Cambodia,Hotel Citywide,3.1016%
-1,Momondo,Cambodia,Hotel Citywide,1.5480%
-1,Swoodoo,Cambodia,Hotel Citywide,0.0170%
-1,KAYAK,Cambodia,Vacations,12.5000%
-1,KAYAK,Cameroon,Car Rentals,13.8889%
-1,Momondo,Cameroon,Car Rentals,16.6667%
-1,KAYAK,Cameroon,Flights,15.1253%
-1,CheapFlights,Cameroon,Flights,11.6838%
-1,Momondo,Cameroon,Flights,4.6612%
-1,Hotelscombined,Cameroon,Flights,5.0945%
-1,KAYAK,Cameroon,Hotel,4.9383%
-1,Momondo,Cameroon,Hotel,0.6173%
-1,Hotelscombined,Cameroon,Hotel,1.8519%
-1,KAYAK,Cameroon,Hotel Citywide,3.8896%
-1,Momondo,Cameroon,Hotel Citywide,1.2466%
-1,Hotelscombined,Cameroon,Hotel Citywide,1.6773%
-1,KAYAK,Cameroon,Vacations,4.1667%
-1,Momondo,Canada,Car Rentals,23.7272%
-1,KAYAK,Canada,Car Rentals,3.5062%
-1,KAYAK,Canada,Flights,7.9891%
-1,CheapFlights,Canada,Flights,4.3455%
-1,Momondo,Canada,Flights,7.6667%
-1,Hotelscombined,Canada,Flights,1.8611%
-1,KAYAK,Canada,Hotel,5.6703%
-1,Momondo,Canada,Hotel,1.5627%
-1,Hotelscombined,Canada,Hotel,3.3349%
-1,Swoodoo,Canada,Hotel,0.0011%
-1,KAYAK,Canada,Hotel Citywide,4.0000%
-1,Momondo,Canada,Hotel Citywide,0.9496%
-1,Hotelscombined,Canada,Hotel Citywide,1.2071%
-1,Swoodoo,Canada,Hotel Citywide,0.0004%
-1,KAYAK,Canada,Vacations,9.9158%
-1,Hotelscombined,Canada,Vacations,7.1593%
-1,Momondo,Cayman Islands,Car Rentals,25.0000%
-1,KAYAK,Cayman Islands,Flights,8.4572%
-1,CheapFlights,Cayman Islands,Flights,4.3680%
